one,two,three,four1,four2,four3,four4,four5,four6,four7,four8,five1,five2,five3,five4,five5,five6,six,seven,eight,nine,ten,eleven,twelve
3,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,4,0,4,4,5,55
4,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,3,1,4,4,2,
3,3,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,1,4,5,2,51.2
3,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,5,1,4,5,5,59
1,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,4,0,3,1,6,62.8
1,3,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,3,0,2,4,3,52.3
5,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,5,1,4,3,3,53
1,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,5,1,5,4,3,54.4
3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,5,1,4,3,4,51
3,2,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,5,0,3,4,3,
3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,3,1,3,5,3,54
3,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,3,3,5,55
3,3,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3,0,2,4,3,50.1
3,3,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,4,0,4,4,0,51
3,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,3,0,4,4,5,51.6
4,3,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,4,0,2,4,0,49.5
3,2,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,4,0,4,4,5,54
3,2,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,3,0,4,2,4,54.1
5,3,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,5,0,2,2,2,50
1,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,5,0,3,5,5,60
3,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,2,0,3,5,5,58.8
1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,3,1,4,4,6,52
3,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,4,1,4,4,0,58.8
3,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,1,5,5,0,66.2
1,5,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,5,0,5,5,6,61.7
1,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,4,0,4,2,0,
5,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,5,0,5,5,6,54.8
5,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,5,0,4,4,5,51.5
3,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,2,1,3,4,3,55.3
3,5,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,5,0,1,4,0,59
1,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,0,2,4,0,55.4
3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3,1,4,5,5,54
4,2,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,3,0,1,3,3,
3,2,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,3,1,4,4,6,
3,3,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,3,1,4,3,3,53.4
3,3,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,5,0,2,3,0,60.1
4,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,4,0,2,3,1,41
1,2,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5,0,3,5,1,49.9
3,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,4,1,2,5,6,
3,3,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,0,3,4,0,
3,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,0,3,4,2,
3,5,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,4,0,3,4,0,60
5,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,5,0,2,5,5,54.3
3,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,5,0,3,4,3,52
1,3,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,4,0,4,5,2,49
