1. 隊友吵架時，你會嘗試勸阻並鼓勵他們嗎(ex:可以贏的),2. 是否會因為隊友表現不佳，瘋狂ping他燈號(撤退or問號),3. 是否會因隊友表現不佳，使用言語(聊聊、RC)或文字(聊天室)等方式指責辱罵他人,4. 當隊友或敵人辱罵嘲諷你時，多數你會如何處理,5. 當隊友在送頭(非惡意)或是逛街時，多數你會如何處理,6. 遊戲是否會影響到現實的心情,7. 現實生活中你是否是個好相處的人(可以想想自己在親朋好友中是否算是好相處的人再作答),8. 是否會因為情緒變差讓你不想贏,"9. 玩LOL多久了(實際有在玩的時間，中間如果沒玩不算 ex:s2,s3,s7,s8 共四年)",10. 請問你認為脾氣暴躁是否會影響遊戲中的表現 ex:易怒的人容易輸,11. 玩LOL以來最高的牌位(舊版排位),12. (選填)最常使用帳號的勝率(如果生涯電腦場次>生涯場次5則改填生涯NG勝率)，填寫數字即可  ex:54.0(手機板競時通->我的戰績->點選中間的勝率->進去最下面可以看生涯總計),,,,,,,,,,,,,
3.偶爾,3.偶爾,3.偶爾,5.靜靜看他裝逼，盡力贏遊戲,3.繼續努力贏遊戲,2.只影響當下(關掉遊戲後即恢復正常),4.容易相處,2.否,4. 5~7年,4.認同,6.鑽石,55,,,,,,,,,,,,,
2.經常,3.偶爾,3.偶爾,5.靜靜看他裝逼，盡力贏遊戲,3.繼續努力贏遊戲,2.只影響當下(關掉遊戲後即恢復正常),3.普通,1.是,4. 5~7年,4.認同,3.銀牌,,,,,,,,,,,,,,
3.偶爾,3.偶爾,5.從不,5.靜靜看他裝逼，盡力贏遊戲,2.心理不爽，但不會表達出來,2.只影響當下(關掉遊戲後即恢復正常),4.容易相處,1.是,4. 5~7年,5.完全認同,3.銀牌,51.2,,,,,,,,,,,,,
3.偶爾,2.經常,2.經常,5.靜靜看他裝逼，盡力贏遊戲,1.直接開噴 ex:逛爽沒、送爽沒,1.嚴重影響(關掉遊戲後心情仍會不好),5.非常容易相處,1.是,4. 5~7年,5.完全認同,6.鑽石,59,,,,,,,,,,,,,
5.從不,1.每場,2.經常,6.罵回去，氣勢不能輸,1.直接開噴 ex:逛爽沒、送爽沒,3.不影響,4.容易相處,2.否,3. 3~5年,1.完全不認同,7.大師、菁英,62.8,,,,銀牌,,,,,,,,,
5.從不,3.偶爾,5.從不,5.靜靜看他裝逼，盡力贏遊戲,2.心理不爽，但不會表達出來,2.只影響當下(關掉遊戲後即恢復正常),3.普通,2.否,2. 1~3年,4.認同,4.金牌,52.3,,,,3,3,5,5,2,2,4,否,2,4
1.每場,1.每場,1.每場,6.罵回去，氣勢不能輸,1.直接開噴 ex:逛爽沒、送爽沒,2.只影響當下(關掉遊戲後即恢復正常),5.非常容易相處,1.是,4. 5~7年,3.無感,4.金牌,53,,,,金牌,,,,,,,,,
5.從不,1.每場,3.偶爾,2.單機到底，改革台服,2.心理不爽，但不會表達出來,2.只影響當下(關掉遊戲後即恢復正常),5.非常容易相處,1.是,5. 7年以上,4.認同,4.金牌,54.4,,,,3,3,4,5,2,2,4,否,3,4
3.偶爾,1.每場,1.每場,2.單機到底，改革台服,1.直接開噴 ex:逛爽沒、送爽沒,2.只影響當下(關掉遊戲後即恢復正常),5.非常容易相處,1.是,4. 5~7年,3.無感,5.白金,51,,,,白金,,,,,,,,,
3.偶爾,2.經常,3.偶爾,5.靜靜看他裝逼，盡力贏遊戲,3.繼續努力贏遊戲,2.只影響當下(關掉遊戲後即恢復正常),5.非常容易相處,2.否,3. 3~5年,4.認同,4.金牌,,,,,3,3,3,5,2,2,4,否,3,4
3.偶爾,3.偶爾,2.經常,4.黑單後盡力贏遊戲,5.我也去自己爽 ex:鼻地,2.只影響當下(關掉遊戲後即恢復正常),3.普通,1.是,3. 3~5年,5.完全認同,4.金牌,54,,,,鑽石,,,,,,,,,
3.偶爾,2.經常,2.經常,1.掛機or中離,4.掛機等投降,2.只影響當下(關掉遊戲後即恢復正常),4.容易相處,2.否,3. 3~5年,3.無感,6.鑽石,55,,,,3,3,4,5,2,2,4,是,4,4
3.偶爾,3.偶爾,3.偶爾,4.黑單後盡力贏遊戲,2.心理不爽，但不會表達出來,1.嚴重影響(關掉遊戲後心情仍會不好),3.普通,2.否,2. 1~3年,4.認同,4.金牌,50.1,,,,,,,,,,,,,
3.偶爾,3.偶爾,5.從不,5.靜靜看他裝逼，盡力贏遊戲,3.繼續努力贏遊戲,2.只影響當下(關掉遊戲後即恢復正常),4.容易相處,2.否,4. 5~7年,4.認同,1. 從未參與積分,51,,,,,,,,,,,,,
3.偶爾,2.經常,2.經常,6.罵回去，氣勢不能輸,5.我也去自己爽 ex:鼻地,2.只影響當下(關掉遊戲後即恢復正常),3.普通,2.否,4. 5~7年,4.認同,6.鑽石,51.6,,,,,,,,,,,,,
2.經常,3.偶爾,3.偶爾,4.黑單後盡力贏遊戲,2.心理不爽，但不會表達出來,2.只影響當下(關掉遊戲後即恢復正常),4.容易相處,2.否,2. 1~3年,4.認同,1. 從未參與積分,49.5,,,,,,,,,,,,,
3.偶爾,2.經常,3.偶爾,4.黑單後盡力贏遊戲,2.心理不爽，但不會表達出來,2.只影響當下(關掉遊戲後即恢復正常),4.容易相處,2.否,4. 5~7年,4.認同,6.鑽石,54,,,,,,,,,,,,,
3.偶爾,2.經常,3.偶爾,4.黑單後盡力贏遊戲,3.繼續努力贏遊戲,2.只影響當下(關掉遊戲後即恢復正常),3.普通,2.否,4. 5~7年,2.不認同,5.白金,54.1,,,,,,,,,,,,,
1.每場,3.偶爾,5.從不,2.單機到底，改革台服,1.直接開噴 ex:逛爽沒、送爽沒,3.不影響,5.非常容易相處,2.否,2. 1~3年,2.不認同,3.銀牌,50,,,,,,,,,,,,,
5.從不,1.每場,2.經常,4.黑單後盡力贏遊戲,3.繼續努力贏遊戲,2.只影響當下(關掉遊戲後即恢復正常),5.非常容易相處,2.否,3. 3~5年,5.完全認同,6.鑽石,60,,,,,,,,,,,,,
3.偶爾,2.經常,3.偶爾,6.罵回去，氣勢不能輸,2.心理不爽，但不會表達出來,2.只影響當下(關掉遊戲後即恢復正常),2.不好相處,2.否,3. 3~5年,5.完全認同,6.鑽石,58.8,,,,,,,,,,,,,
5.從不,1.每場,2.經常,5.靜靜看他裝逼，盡力贏遊戲,2.心理不爽，但不會表達出來,2.只影響當下(關掉遊戲後即恢復正常),3.普通,1.是,4. 5~7年,4.認同,7.大師、菁英,52,,,,,,,,,,,,,
3.偶爾,2.經常,2.經常,4.黑單後盡力贏遊戲,1.直接開噴 ex:逛爽沒、送爽沒,2.只影響當下(關掉遊戲後即恢復正常),4.容易相處,1.是,4. 5~7年,4.認同,1. 從未參與積分,58.8,,,,,,,,,,,,,
3.偶爾,3.偶爾,3.偶爾,5.靜靜看他裝逼，盡力贏遊戲,2.心理不爽，但不會表達出來,1.嚴重影響(關掉遊戲後心情仍會不好),3.普通,1.是,5. 7年以上,5.完全認同,1. 從未參與積分,66.2,,,,,,,,,,,,,
5.從不,5.從不,3.偶爾,5.靜靜看他裝逼，盡力贏遊戲,2.心理不爽，但不會表達出來,2.只影響當下(關掉遊戲後即恢復正常),5.非常容易相處,2.否,5. 7年以上,5.完全認同,7.大師、菁英,61.7,,,,,,,,,,,,,
5.從不,2.經常,2.經常,6.罵回去，氣勢不能輸,1.直接開噴 ex:逛爽沒、送爽沒,2.只影響當下(關掉遊戲後即恢復正常),4.容易相處,2.否,4. 5~7年,2.不認同,1. 從未參與積分,,,,,,,,,,,,,,
1.每場,5.從不,5.從不,5.靜靜看他裝逼，盡力贏遊戲,6.勸導鼓勵他繼續認真玩,2.只影響當下(關掉遊戲後即恢復正常),5.非常容易相處,2.否,5. 7年以上,5.完全認同,7.大師、菁英,54.8,,,,,,,,,,,,,
1.每場,1.每場,1.每場,6.罵回去，氣勢不能輸,3.繼續努力贏遊戲,1.嚴重影響(關掉遊戲後心情仍會不好),5.非常容易相處,2.否,4. 5~7年,4.認同,6.鑽石,51.5,,,,,,,,,,,,,
3.偶爾,3.偶爾,3.偶爾,5.靜靜看他裝逼，盡力贏遊戲,2.心理不爽，但不會表達出來,2.只影響當下(關掉遊戲後即恢復正常),2.不好相處,1.是,3. 3~5年,4.認同,4.金牌,55.3,,,,,,,,,,,,,
3.偶爾,5.從不,5.從不,2.單機到底，改革台服,2.心理不爽，但不會表達出來,3.不影響,5.非常容易相處,2.否,1. 1年以下,4.認同,1. 從未參與積分,59,,,,,,,,,,,,,
5.從不,3.偶爾,3.偶爾,5.靜靜看他裝逼，盡力贏遊戲,2.心理不爽，但不會表達出來,2.只影響當下(關掉遊戲後即恢復正常),4.容易相處,2.否,2. 1~3年,4.認同,1. 從未參與積分,55.4,,,,,,,,,,,,,
3.偶爾,3.偶爾,3.偶爾,6.罵回去，氣勢不能輸,6.勸導鼓勵他繼續認真玩,2.只影響當下(關掉遊戲後即恢復正常),3.普通,1.是,4. 5~7年,5.完全認同,6.鑽石,54,,,,,,,,,,,,,
2.經常,2.經常,5.從不,5.靜靜看他裝逼，盡力贏遊戲,2.心理不爽，但不會表達出來,2.只影響當下(關掉遊戲後即恢復正常),3.普通,2.否,1. 1年以下,3.無感,4.金牌,,,,,,,,,,,,,,
3.偶爾,2.經常,3.偶爾,2.單機到底，改革台服,1.直接開噴 ex:逛爽沒、送爽沒,2.只影響當下(關掉遊戲後即恢復正常),3.普通,1.是,4. 5~7年,4.認同,7.大師、菁英,,,,,,,,,,,,,,
3.偶爾,3.偶爾,3.偶爾,2.單機到底，改革台服,2.心理不爽，但不會表達出來,2.只影響當下(關掉遊戲後即恢復正常),3.普通,1.是,4. 5~7年,3.無感,4.金牌,53.4,,,,,,,,,,,,,
3.偶爾,3.偶爾,5.從不,5.靜靜看他裝逼，盡力贏遊戲,2.心理不爽，但不會表達出來,2.只影響當下(關掉遊戲後即恢復正常),5.非常容易相處,2.否,2. 1~3年,3.無感,1. 從未參與積分,60.1,,,,,,,,,,,,,
2.經常,5.從不,5.從不,6.罵回去，氣勢不能輸,6.勸導鼓勵他繼續認真玩,2.只影響當下(關掉遊戲後即恢復正常),4.容易相處,2.否,2. 1~3年,3.無感,2.銅牌,41,,,,,,,,,,,,,
